2.87	0.77	0.88	0.52	0.67	0.79	0.85
11.03	2.94	3.36	0.02	0.03	0.74	0.35
3.81	1.02	1.16	0.48	0.56	1.00	0.30
4.75	1.27	1.45	0.55	0.47	0.26	0.53
7.30	1.95	2.23	0.21	0.22	0.24	0.50
7.63	2.04	2.33	0.18	0.19	0.87	0.05
10.92	2.91	3.33	0.02	0.03	0.97	0.44
5.43	1.45	1.65	0.31	0.34	0.72	0.79
4.49	1.20	1.37	0.76	0.62	0.02	1.00
4.19	1.12	1.28	0.73	0.61	0.39	0.49
3.36	0.90	1.02	0.43	0.58	0.10	0.24
3.61	0.96	1.10	0.37	0.46	0.78	0.03
3.29	0.88	1.00	0.38	0.49	0.19	0.50
2.74	0.73	0.84	0.55	0.69	0.10	0.10
2.76	0.74	0.84	0.55	0.69	0.75	0.21
2.52	0.67	0.77	0.61	0.73	0.47	0.34
6.71	1.79	2.04	0.20	0.25	0.78	0.57
2.00	0.53	0.61	0.63	0.74	0.10	0.24
1.81	0.48	0.55	0.70	0.80	0.01	0.43
1.70	0.45	0.52	0.74	0.83	0.18	0.48
1.73	0.46	0.53	0.74	0.83	0.12	0.43
1.40	0.37	0.43	0.78	0.87	0.74	0.81
6.11	1.63	1.86	0.20	0.27	0.19	0.23
1.89	0.50	0.58	0.57	0.68	0.66	0.18
1.20	0.32	0.37	0.81	0.89	0.05	0.05
2.15	0.57	0.66	0.62	0.73	0.74	0.67
1.06	0.28	0.32	0.78	0.86	0.33	0.01
0.90	0.24	0.27	0.86	0.92	0.19	1.00
1.30	0.35	0.40	0.69	0.78	0.08	0.05
0.70	0.19	0.21	0.90	0.96	0.13	0.48
7.48	1.99	2.28	0.14	0.18	1.00	0.73
4.95	1.32	1.51	0.26	0.34	0.28	0.39
0.20	0.05	0.06	0.93	0.99	0.32	0.67
1.17	0.31	0.36	0.78	0.85	0.15	0.30
0.12	0.03	0.04	0.93	0.99	0.13	0.43
3.82	1.02	1.16	0.32	0.42	0.20	0.78
2.41	0.64	0.74	0.48	0.60	0.66	1.00
0.23	0.06	0.07	0.93	0.99	0.18	0.13
1.13	0.30	0.34	0.77	0.84	0.09	0.08
0.43	0.11	0.13	0.91	0.98	0.59	0.88
0.97	0.26	0.30	0.82	0.89	0.28	0.96
4.59	1.23	1.40	0.27	0.36	0.47	0.53
1.17	0.31	0.36	0.82	0.89	0.05	0.85
13.15	3.51	4.01	0.00	0.00	0.05	0.82
0.85	0.23	0.26	0.86	0.92	0.29	0.12
5.82	1.55	1.78	0.21	0.28	0.12	0.39
2.41	0.64	0.73	0.53	0.66	0.01	0.26
1.41	0.38	0.43	0.76	0.87	0.14	0.53
1.67	0.45	0.51	0.73	0.81	0.07	0.20
2.96	0.79	0.90	0.54	0.68	1.00	0.12
2.80	0.75	0.85	0.51	0.66	0.01	0.10
4.10	1.09	1.25	0.73	0.60	0.07	0.18
4.79	1.28	1.46	0.33	0.38	0.09	0.42
5.63	1.50	1.72	0.32	0.33	0.48	0.82
7.12	1.90	2.17	0.16	0.21	0.76	0.40
15.16	4.04	4.62	0.00	0.00	1.00	0.02
6.39	1.70	1.95	0.27	0.29	0.14	0.47
12.00	3.20	3.66	0.00	0.00	0.19	0.97
8.26	2.20	2.52	0.10	0.13	0.56	0.13
9.01	2.40	2.75	0.08	0.10	0.00	0.78
2.40	0.64	0.73	0.60	0.72	0.24	0.58
0.53	0.14	0.16	0.90	0.97	0.02	0.97
9.79	2.61	2.99	0.06	0.08	0.33	0.34
1.17	0.31	0.36	0.82	0.89	0.01	0.03
5.01	1.34	1.53	0.54	0.45	0.02	0.61
5.35	1.43	1.63	0.43	0.38	0.44	0.78
1.31	0.35	0.40	0.77	0.85	0.41	0.89
0.60	0.16	0.18	0.90	0.96	0.45	0.01
1.51	0.40	0.46	0.74	0.83	0.92	0.26
2.97	0.79	0.91	0.45	0.60	0.28	0.53
1.79	0.48	0.55	0.74	0.83	0.06	0.39
3.39	0.90	1.03	0.37	0.47	0.50	0.27
20.68	5.51	6.30	0.00	0.00	0.03	0.27
5.18	1.38	1.58	0.37	0.37	0.12	1.00
