10.3	4.34	4.63	0.03	0.02	0.96	0.97
9.55	4.02	4.29	0.20	0.16	0.93	0.94
11.16	4.70	5.02	0.01	0.01	0.98	0.99
12.67	5.34	5.69	0.00	0.00	1.00	1.00
8.89	3.74	4.00	0.07	0.06	0.89	0.91
8.35	3.52	3.75	0.09	0.08	0.86	0.88
7.5	3.16	3.37	0.14	0.13	0.81	0.84
8.72	3.67	3.92	0.06	0.06	0.88	0.90
7.27	3.06	3.27	0.14	0.13	0.79	0.83
7.2	3.03	3.24	0.17	0.15	0.79	0.82
6.87	2.89	3.09	0.17	0.16	0.76	0.80
6.52	2.75	2.93	0.19	0.17	0.73	0.77
7.18	3.02	3.23	0.13	0.12	0.79	0.82
4.34	1.83	1.95	0.48	0.41	0.50	0.57
5.75	2.42	2.58	0.92	0.73	0.65	0.70
5.14	2.16	2.31	0.31	0.28	0.58	0.65
5.19	2.19	2.33	0.31	0.28	0.58	0.65
3.25	1.37	1.46	0.50	0.45	0.37	0.46
5.56	2.34	2.50	0.83	0.66	0.62	0.69
4.1	1.73	1.84	0.43	0.38	0.46	0.55
1.64	0.69	0.74	0.75	0.70	0.17	0.25
5.5	2.32	2.47	0.35	0.30	0.61	0.68
4.61	1.94	2.07	0.40	0.35	0.52	0.59
6.18	2.60	2.78	0.26	0.22	0.70	0.74
3.93	1.65	1.77	0.47	0.45	0.43	0.52
2.5	1.05	1.12	0.67	0.60	0.25	0.33
7.23	3.04	3.25	0.17	0.15	0.79	0.82
3.72	1.57	1.67	0.46	0.43	0.39	0.48
3.96	1.67	1.78	0.42	0.39	0.43	0.51
5.93	2.50	2.67	0.27	0.23	0.66	0.72
6.16	2.59	2.77	0.44	0.35	0.69	0.74
6.88	2.90	3.09	0.16	0.15	0.75	0.79
8.31	3.50	3.74	0.11	0.10	0.84	0.87
9.17	3.86	4.12	0.31	0.23	0.90	0.91
12.02	5.06	5.40	0.00	0.00	1.00	1.00
10.61	4.47	4.77	0.02	0.02	0.97	0.97
