10.85	4.57	4.88	0.02	0.01	0.98	0.98
9.95	4.20	4.47	0.07	0.05	0.95	0.96
10.12	4.27	4.55	0.03	0.03	0.96	0.96
10.1	4.26	4.54	0.03	0.03	0.96	0.96
5.04	2.13	2.27	0.35	0.31	0.57	0.64
3.97	1.68	1.78	0.44	0.39	0.44	0.53
4.75	2.00	2.14	0.37	0.32	0.54	0.61
4.59	1.94	2.06	0.42	0.36	0.52	0.59
0.1	0.04	0.04	0.99	0.99	0.00	0.00
4.81	2.03	2.16	0.34	0.31	0.54	0.61
3.77	1.59	1.69	0.49	0.47	0.42	0.50
6.67	2.81	3.00	0.39	0.32	0.74	0.78
4.65	1.96	2.09	0.38	0.34	0.52	0.59
3.96	1.67	1.78	0.60	0.49	0.42	0.50
4.54	1.92	2.04	0.41	0.36	0.49	0.57
7.2	3.04	3.24	0.13	0.13	0.77	0.81
9.73	4.11	4.37	0.17	0.13	0.94	0.95
4.27	1.80	1.92	0.59	0.48	0.45	0.54
10.04	4.24	4.51	0.03	0.03	0.95	0.96
4.22	1.78	1.90	0.46	0.42	0.46	0.54
